time,BTC,ETH,SOL,XRP,BNB,USDT,ADA,DOT,LUNA,DOGE,price,logPrice,return,signal,residual,residualFeature,equity,share,cPlus,equityWithoutFee,cMinus,logEquity,portReturn,downsideReturn,drawdown
2021-09-03 17:00:00,50418.45,3965.21,140.7,1.301,491.38,1.0,2.984,33.46,32.31,0.2978,50418.45,10.828112458500234,-0.0015660564983193126,0.0,-80.24497172968404,-0.20907011490960647,103.4963291929733,0.0020527471430195356,0.0,103.4963291929733,-0.10907011490960648,4.639536145341907,-0.0015660564983193126,0.0015660564983193126,-0.6322050651071578
2021-09-03 18:00:00,50477.96,3953.64,139.97,1.304,490.54,1.0,2.9789999999999996,33.52,32.24,0.2976,50477.96,10.829292084354131,0.0011796258538971927,0.0,58.22681389074569,0.15170404336319657,103.6184881754544,0.0020527471430195356,0.0,103.6184881754544,0.0,4.640715771195805,0.0011796258538980808,0.0,-0.5100460826260615
2021-09-03 19:00:00,50544.82,3945.05,142.94,1.315,489.63,1.0,2.989,33.74,32.28,0.2996,50544.82,10.830615746398713,0.001323662044582008,0.0,65.68745550941821,0.17114198653762555,103.75573484943668,0.0020527471430195356,0.0,103.75573484943668,0.0,4.642039433240386,0.0013236620445811198,0.0,-0.372799408643786
2021-09-03 20:00:00,50152.89,3916.9,141.84,1.2919999999999998,488.81,1.0,2.966,33.51,32.15,0.2964,50152.89,10.822831418848347,-0.007784327550366399,0.0,-393.0456181564077,-1.0240403950728767,102.95120166167304,0.0020527471430195356,0.0,102.95120166167304,-0.9240403950728767,4.63425510569002,-0.007784327550366399,0.007784327550366399,-1.1773325964074246
2021-09-03 21:00:00,50250.97,3935.49,147.55,1.3030000000000002,490.4,1.0,2.967,33.74,32.07,0.2966,50250.97,10.824785129217599,0.0019537103692517377,0.0,96.44188928860967,0.25126953678283215,103.1525351014604,0.0020527471430195356,0.0312695367828322,103.1525351014604,0.0,4.6362088160592725,0.001953710369252626,0.0,-0.9759991566200625
2021-09-03 22:00:00,49709.91,3887.25,143.82,1.2770000000000001,485.11,1.0,2.9330000000000003,33.06,31.31,0.2931,49709.91,10.813959588586174,-0.010825540631424602,0.0,-542.3969019455908,-1.4131599796480572,102.04187573225825,0.0020527471430195356,0.0,102.04187573225825,-1.313159979648057,4.625383275427847,-0.01082554063142549,0.01082554063142549,-2.086658525822216
2021-09-03 23:00:00,50019.51,3939.79,146.46,1.291,488.64,1.001,2.968,33.59,31.72,0.2962,50019.51,10.820168408302061,0.006208819715887159,0.0,307.5392682031743,0.8012622941540551,102.6774062477371,0.0020527471430195356,0.5812622941540552,102.6774062477371,0.0,4.631592095143734,0.006208819715887159,0.0,-1.4511280103433677
2021-09-04 00:00:00,49948.7,3944.09,149.32,1.288,491.94,0.9999,2.946,33.86,31.64,0.2973,49948.7,10.81875175771199,-0.0014166505900714554,0.0,-72.23618999894097,-0.18820404840549154,102.53205122253988,0.0020527471430195356,0.0,102.53205122253988,-0.08820404840549155,4.630175444553664,-0.0014166505900705673,0.0014166505900705673,-1.5964830355405866
2021-09-04 01:00:00,49712.99,3921.29,148.37,1.275,488.13,1.0,2.931,33.34,31.31,0.2946,49712.99,10.814021546143255,-0.004730211568734433,0.0,-237.36565401434927,-0.6184320773087933,102.04819819345875,0.0020527471430195356,0.0,102.04819819345875,-0.4302280289033018,4.625445232984929,-0.004730211568734433,0.004730211568734433,-2.0803360646217186
2021-09-04 02:00:00,50129.48,3943.89,149.65,1.284,490.12,1.0,2.948,33.61,31.43,0.2959,50129.48,10.822364537173627,0.008342991030371394,0.0,414.5705003763651,1.0801212871479813,102.90314685105496,0.0020527471430195356,0.8601212871479813,102.90314685105496,0.0,4.6337882240153005,0.008342991030371394,0.0,-1.225387407025508
2021-09-04 03:00:00,50295.95,3919.08,148.4,1.284,489.58,1.0,2.9619999999999997,33.52,31.51,0.2956,50295.95,10.825679835947563,0.003315298773935993,0.0,165.18054998634034,0.43036112820638345,103.2448676679534,0.0020527471430195356,,103.2448676679534,0.0,4.637103522789236,0.0033152987739351047,0.0,-0.8836665901270635
2021-09-04 04:00:00,50351.06,3907.8,147.72,1.281,489.36,1.0,2.935,33.25,31.4,0.29600000000000004,50351.06,10.826774950556684,0.0010951146091215946,0.0,53.84038275009516,0.14027564301796172,103.35799456300522,0.0020527471430195356,,103.35799456300522,0.0,4.638198637398357,0.0010951146091215946,0.0,-0.770539695075243
2021-09-04 05:00:00,50296.55,3926.41,145.79,1.2790000000000001,488.98,1.0,2.946,33.24,31.67,0.2951,50296.55,10.825691765266349,-0.0010831852903354644,0.0,-55.786144079051155,-0.14534512632467733,103.24609931623922,0.0020527471430195356,0.0,103.24609931623922,-0.04534512632467734,4.637115452108022,-0.0010831852903354644,0.0010831852903354644,-0.8824349418412396
2021-09-04 06:00:00,50341.28,3922.45,148.16,1.286,492.24,1.0,2.946,33.4,31.74,0.2967,50341.28,10.826580695461793,0.0008889301954440043,0.0,43.3603400253196,0.11297095726011382,103.33791869594648,0.0020527471430195356,0.11117095726011382,103.33791869594648,0.0,4.638004382303466,0.0008889301954440043,0.0,-0.7906155621339792
2021-09-04 07:00:00,50208.41,3915.77,145.9,1.28,490.08,1.0,2.9410000000000003,33.27,31.79,0.2965,50208.41,10.823937821528736,-0.002642873933057288,0.0,-134.15874218635872,-0.3495369621353436,103.0651701830535,0.0020527471430195356,0.0,103.0651701830535,-0.2495369621353436,4.6353615083704085,-0.002642873933057288,0.002642873933057288,-1.0633640750269677
